Volume averages, fluxes, etc
it t dt Rho Mx My Mz Xe Be Pl EInt E Pmin Pmax
      0  0.00000E+00  0.00000E+00  1.78328E+02  1.17787E+05  0.00000E+00  0.00000E+00 -4.55968E-03 -2.92780E-01  4.21833E-03  3.23293E+09  1.57021E+10  1.10000E+05  1.89768E+12
      1  0.00000E+00  0.00000E+00  1.78328E+02  1.17787E+05  0.00000E+00  0.00000E+00 -4.55968E-03 -2.92780E-01  4.21833E-03  3.23285E+09  1.57022E+10  1.10000E+05  1.89756E+12
      2  3.75145E-11  3.75145E-11  1.78327E+02  1.20133E+05 -1.62630E-12 -2.08256E-13 -4.55957E-03 -2.92780E-01  4.21845E-03  3.24230E+09  1.56429E+10  1.10000E+05  1.68759E+12
      3  7.70494E-11  3.95349E-11  1.78326E+02  1.22513E+05 -8.45678E-12 -4.04329E-13 -4.55952E-03 -2.92780E-01  4.21851E-03  3.26363E+09  1.55937E+10  1.10000E+05  1.61907E+12
      4  1.17399E-10  4.03493E-11  1.78326E+02  1.24840E+05 -1.30104E-11 -5.70623E-13 -4.55951E-03 -2.92780E-01  4.21852E-03  3.29963E+09  1.55554E+10  1.10000E+05  1.55780E+12
      5  1.58484E-10  4.10850E-11  1.78327E+02  1.27122E+05 -1.69136E-11 -7.01016E-13 -4.55955E-03 -2.92780E-01  4.21847E-03  3.31450E+09  1.55603E+10  1.10000E+05  1.50226E+12
      6  1.98462E-10  3.99781E-11  1.78327E+02  1.29271E+05 -2.81893E-11 -7.86586E-13 -4.55963E-03 -2.92780E-01  4.21837E-03  3.32512E+09  1.55868E+10  1.10000E+05  1.45495E+12
      7  2.39262E-10  4.08002E-11  1.78329E+02  1.31402E+05 -6.67869E-11 -8.37853E-13 -4.55975E-03 -2.92780E-01  4.21823E-03  3.35729E+09  1.56077E+10  1.10000E+05  1.41069E+12
      8  2.78925E-10  3.96630E-11  1.78330E+02  1.33420E+05 -1.90820E-11 -8.58474E-13 -4.55990E-03 -2.92780E-01  4.21805E-03  3.36190E+09  1.56673E+10  1.10000E+05  1.37147E+12
      9  3.19209E-10  4.02836E-11  1.78332E+02  1.35423E+05  9.54098E-12 -8.61238E-13 -4.56008E-03 -2.92780E-01  4.21784E-03  3.40019E+09  1.57053E+10  1.10000E+05  1.33494E+12
     10  3.58817E-10  3.96085E-11  1.78334E+02  1.37351E+05 -1.12757E-11 -8.45235E-13 -4.56028E-03 -2.92780E-01  4.21760E-03  3.40182E+09  1.57880E+10  1.10000E+05  1.30149E+12
     11  3.97233E-10  3.84164E-11  1.78337E+02  1.39185E+05 -4.25007E-11 -8.07185E-13 -4.56050E-03 -2.92780E-01  4.21735E-03  3.41453E+09  1.58648E+10  1.10000E+05  1.27090E+12
     12  4.36452E-10  3.92190E-11  1.78339E+02  1.41024E+05 -5.89806E-11 -7.43902E-13 -4.56075E-03 -2.92779E-01  4.21706E-03  3.44421E+09  1.59335E+10  1.10000E+05  1.24117E+12
     13  4.75161E-10  3.87090E-11  1.78342E+02  1.42810E+05 -1.05818E-10 -6.65181E-13 -4.56101E-03 -2.92779E-01  4.21676E-03  3.44610E+09  1.60348E+10  1.10000E+05  1.21326E+12
     14  5.14246E-10  3.90845E-11  1.78345E+02  1.44586E+05 -7.45931E-11 -5.77808E-13 -4.56129E-03 -2.92779E-01  4.21644E-03  3.48844E+09  1.61021E+10  1.10000E+05  1.18636E+12
     15  5.52272E-10  3.80264E-11  1.78348E+02  1.46289E+05 -6.41848E-11 -4.93194E-13 -4.56159E-03 -2.92779E-01  4.21610E-03  3.49118E+09  1.62107E+10  1.10000E+05  1.16125E+12
     16  5.90833E-10  3.85610E-11  1.78352E+02  1.47993E+05 -9.02056E-11 -4.22581E-13 -4.56190E-03 -2.92779E-01  4.21575E-03  3.53646E+09  1.62824E+10  1.10000E+05  1.13667E+12
