Volume averages, fluxes, etc
it t dt Rho Mx My Mz Bx By Bz Hplim E NeuRho NeuMx NeuMy NeuMz NeuE Ne2Rho Ne2Mx Ne2My Ne2Mz Ne2E Ne3Rho Ne3Mx Ne3My Ne3Mz Ne3E Ne4Rho Ne4Mx Ne4My Ne4Mz Ne4E Pmin Pmax
     10  0.00000E+00  0.00000E+000  3.00527E-004  1.87036E-021  1.37322E-022  4.37908E-022  1.67922E-003 -5.31529E-004 -1.21717E-003 -2.86589E-004  1.54589E-014  1.80000E-001  7.91809E-019 -2.64787E-040 -6.92456E-020  1.29221E-012  1.55642E-004 -8.69845E-023 -4.96823E-026  3.58750E-028  1.42765E-014  6.48010E-007 -4.38780E-026 -1.03492E-028  8.43802E-031  9.12473E-016  1.80000E-001  7.91809E-019 -2.64787E-040 -6.92456E-020  1.29221E-012  1.05913E-019  9.64691E-013
     20  0.00000E+00  0.00000E+000  9.11799E-004  5.88163E-021  3.74759E-022  1.26912E-021  3.11325E-003 -1.47193E-003 -3.66324E-003 -8.97049E-004  9.72924E-014  1.80000E-001  7.91809E-019 -1.02788E-039 -6.92456E-020  1.29221E-012  1.35337E-004 -1.52028E-022  3.80141E-025 -1.98527E-027  1.23518E-014  6.09706E-007 -2.35266E-025 -1.01524E-028 -6.21118E-031  8.38992E-016  1.80000E-001  7.91809E-019 -8.20937E-040 -6.92456E-020  1.29221E-012  1.04716E-019  6.99551E-012
     30  0.00000E+00  0.00000E+000  1.51644E-003  1.33767E-020  4.65096E-022  1.53854E-021  5.18346E-003 -2.41450E-003 -6.32063E-003 -1.50132E-003  1.27955E-012  1.80000E-001  7.91809E-019 -2.07818E-039 -6.92456E-020  1.29221E-012  1.18501E-004 -2.00001E-022  8.82489E-025 -2.81183E-027  1.07703E-014  5.58079E-007 -8.63827E-025 -3.07051E-028 -4.79939E-030  7.52687E-016  1.80000E-001  7.91809E-019 -1.42093E-039 -6.92456E-020  1.29221E-012  2.82142E-020  8.57248E-011
     40  0.00000E+00  0.00000E+000  1.70143E-003  9.89022E-021  3.72100E-022  1.56258E-021  6.50369E-003 -2.61866E-003 -7.00036E-003 -1.68621E-003  1.26324E-012  1.80000E-001  7.91809E-019 -2.86809E-039 -6.92456E-020  1.29221E-012  1.04647E-004 -2.37347E-022  1.34905E-024  1.21900E-026  9.47936E-015  4.95053E-007 -1.90766E-024 -6.55843E-029  2.67936E-029  6.56286E-016  1.80000E-001  7.91809E-019 -1.67644E-039 -6.92456E-020  1.29221E-012  2.48225E-020  7.55026E-011
     50  0.00000E+00  0.00000E+000  1.92070E-003  7.56872E-021 -4.91764E-022  1.29593E-021  8.65692E-003 -2.81938E-003 -8.31535E-003 -1.90511E-003  1.18762E-012  1.80000E-001  7.91809E-019 -3.81715E-039 -6.92456E-020  1.29221E-012  9.28366E-005 -2.61923E-022  1.36284E-024  2.61432E-026  8.38627E-015  4.27253E-007 -2.97649E-024 -1.62018E-028 -8.86576E-030  5.57981E-016  1.80000E-001  7.91809E-019 -2.38707E-039 -6.92456E-020  1.29221E-012  4.54131E-021  9.84509E-011
     60  0.00000E+00  0.00000E+000  2.14547E-003  1.35414E-020 -1.85946E-021  1.64908E-021  1.35838E-002 -3.18655E-003 -9.28281E-003 -2.12924E-003  6.67090E-013  1.80000E-001  7.91809E-019 -4.79434E-039 -6.92456E-020  1.29221E-012  8.25139E-005 -2.73572E-022  1.21305E-024  1.42909E-026  7.45772E-015  3.61869E-007 -3.69329E-024 -3.60395E-028 -1.03582E-028  4.69023E-016  1.80000E-001  7.91809E-019 -2.90948E-039 -6.92456E-020  1.29221E-012  4.11686E-022  2.06297E-011
     70  0.00000E+00  0.00000E+000  2.44549E-003  1.78589E-020 -1.76887E-021  2.24165E-021  2.00196E-002 -3.64798E-003 -1.04465E-002 -2.42815E-003  4.68813E-013  1.80000E-001  7.91809E-019 -6.32466E-039 -6.92456E-020  1.29221E-012  7.34480E-005 -2.77154E-022  1.05087E-024 -1.28913E-026  6.64134E-015  2.99929E-007 -4.08101E-024  1.05678E-028  2.29455E-028  3.85162E-016  1.80000E-001  7.91809E-019 -3.52098E-039 -6.92456E-020  1.29221E-012  1.81663E-023  5.71838E-012
     80  0.00000E+00  0.00000E+000  2.81325E-003  2.08816E-020 -1.37586E-021  3.08071E-021  2.70680E-002 -4.20859E-003 -1.17499E-002 -2.79493E-003  3.79585E-013  1.80000E-001  7.91809E-019 -8.36256E-039 -6.92456E-020  1.29221E-012  6.55402E-005 -2.74374E-022  8.70373E-025 -4.83695E-026  5.92858E-015  2.39262E-007 -4.24129E-024  2.47167E-027  3.23308E-028  3.05249E-016  1.80000E-001  7.91809E-019 -4.63816E-039 -6.92456E-020  1.29221E-012  1.67696E-024  2.90055E-012
     90  0.00000E+00  0.00000E+000  3.22598E-003  2.38527E-020 -9.31803E-022  4.13977E-021  3.45115E-002 -4.82951E-003 -1.30449E-002 -3.20715E-003  3.37344E-013  1.80000E-001  7.91809E-019 -1.03600E-038 -6.92456E-020  1.29221E-012  5.86618E-005 -2.67659E-022  8.52626E-025 -8.39546E-026  5.30787E-015  1.83707E-007 -4.18782E-024  4.93586E-027 -1.30425E-028  2.34171E-016  1.80000E-001  7.91809E-019 -5.19334E-039 -6.92456E-020  1.29221E-012  2.19652E-025  1.78765E-012
    100  0.00000E+00  0.00000E+000  3.66990E-003  2.68942E-020 -4.78787E-022  5.37677E-021  4.22753E-002 -5.49244E-003 -1.42570E-002 -3.65081E-003  3.16794E-013  1.80000E-001  7.91809E-019 -1.21988E-038 -6.92456E-020  1.29221E-012  5.26847E-005 -2.57942E-022  1.06132E-024 -9.64750E-026  4.76764E-015  1.38003E-007 -3.84299E-024 -1.67386E-027 -2.38411E-027  1.76156E-016  1.80000E-001  7.91809E-019 -5.68752E-039 -6.92456E-020  1.29221E-012  3.67505E-025  1.25083E-012
